m,r,d,seed,n_recover,n_lib,dt,tot_iters
35,1,2,6,150,666,84.79332041740417,17825
35,1,2,7,158,666,69.17995023727417,14650
35,1,2,8,125,666,82.43366241455078,18725
35,1,2,9,155,666,78.02170753479004,19475
40,1,2,0,196,861,82.30693101882935,14325
40,1,2,1,129,861,83.76938033103943,12750
40,1,2,2,177,861,91.14286661148071,15150
40,1,2,3,147,861,101.24290561676025,17675
40,1,2,4,215,861,117.85732221603394,19725
40,1,2,5,140,861,77.95863103866577,13450
40,1,2,6,243,861,96.47370409965515,15550
40,1,2,7,164,861,78.14058947563171,13200
40,1,2,8,219,861,91.79109477996826,11875
40,1,2,9,222,861,94.3473641872406,14600
45,1,2,0,227,1081,169.72492337226868,18325
45,1,2,1,169,1081,182.19057655334473,20525
45,1,2,2,256,1081,176.81008577346802,18425
45,1,2,3,190,1081,159.74172067642212,17850
45,1,2,4,238,1081,167.9282386302948,17075
45,1,2,5,149,1081,138.92113757133484,15475
45,1,2,6,306,1081,156.85632753372192,15125
45,1,2,7,208,1081,121.9774911403656,12650
45,1,2,8,212,1081,168.31094217300415,17450
45,1,2,9,210,1081,130.72553896903992,13400
50,1,2,0,273,1326,294.86785674095154,20600
50,1,2,1,188,1326,179.37359881401062,11975
50,1,2,2,299,1326,272.1193194389343,16625
50,1,2,3,193,1326,246.0604109764099,17050
50,1,2,4,277,1326,295.9856986999512,18550
50,1,2,5,167,1326,171.43599319458008,12200
50,1,2,6,288,1326,312.5028405189514,19700
50,1,2,7,216,1326,284.0367465019226,18400
50,1,2,8,276,1326,251.69013166427612,18000
50,1,2,9,290,1326,351.76158928871155,21900
6,1,3,0,30,84,2.65869140625,5075
6,1,3,1,59,84,1.311758279800415,2050
6,1,3,2,44,84,1.977294921875,3300
6,1,3,3,35,84,2.7178955078125,4800
6,1,3,4,40,84,1.400794506072998,2325
6,1,3,5,61,84,1.8791236877441406,2175
6,1,3,6,48,84,1.715242862701416,2625
6,1,3,7,43,84,3.822418212890625,5900
6,1,3,8,18,84,2.303816080093384,4175
6,1,3,9,42,84,1.9226322174072266,3325
7,1,3,0,72,120,2.8103411197662354,3300
7,1,3,1,47,120,2.698914051055908,2400
7,1,3,2,52,120,3.625361680984497,4000
7,1,3,3,71,120,4.982764005661011,6025
7,1,3,4,62,120,1.9997811317443848,1575
7,1,3,5,65,120,2.152838706970215,1625
7,1,3,6,62,120,2.3940136432647705,3400
7,1,3,7,50,120,4.670707702636719,5825
7,1,3,8,78,120,2.817805767059326,2950
7,1,3,9,59,120,4.4535088539123535,5175
8,1,3,0,37,165,5.454817771911621,5475
8,1,3,1,57,165,5.173825025558472,3675
8,1,3,2,74,165,3.9560742378234863,2400
8,1,3,3,90,165,3.657296895980835,2475
8,1,3,4,75,165,3.7605769634246826,2075
8,1,3,5,43,165,5.088158130645752,3750
8,1,3,6,67,165,4.291800022125244,2400
8,1,3,7,107,165,4.073683500289917,2225
8,1,3,8,84,165,2.3063464164733887,1025
8,1,3,9,103,165,6.268515110015869,3950
9,1,3,0,104,220,9.890595436096191,4650
9,1,3,1,67,220,7.492478609085083,3125
9,1,3,2,99,220,13.197103261947632,6225
9,1,3,3,58,220,6.846181631088257,3150
9,1,3,4,57,220,10.286413431167603,4875
9,1,3,5,84,220,14.339432001113892,7600
9,1,3,6,62,220,7.927690267562866,3575
9,1,3,7,65,220,7.878335952758789,3650
9,1,3,8,68,220,7.17620849609375,3000
9,1,3,9,76,220,7.729794502258301,3400
10,1,3,0,62,286,23.38749885559082,8025
10,1,3,1,97,286,12.578077793121338,4200
10,1,3,2,96,286,24.81313133239746,8600
10,1,3,3,88,286,18.89491081237793,5950
10,1,3,4,166,286,13.675902605056763,3550
10,1,3,5,82,286,11.125189781188965,3425
10,1,3,6,76,286,13.228035926818848,4375
10,1,3,7,63,286,23.02990221977234,7825
10,1,3,8,62,286,23.436205625534058,8275
10,1,3,9,72,286,13.926398277282715,3950
11,1,3,0,140,364,31.86980628967285,7850
11,1,3,1,131,364,20.07383370399475,4550
11,1,3,2,172,364,21.95321035385132,5250
11,1,3,3,177,364,43.09116053581238,11075
11,1,3,4,129,364,23.963391065597534,5725
11,1,3,5,152,364,30.84143829345703,6700
11,1,3,6,110,364,18.67342519760132,3900
11,1,3,7,132,364,12.746622562408447,2575
11,1,3,8,89,364,24.234686136245728,6050
11,1,3,9,132,364,35.54764533042908,8400
12,1,3,0,62,455,29.298495292663574,5650
12,1,3,1,105,455,74.18541026115417,15325
12,1,3,2,71,455,51.1488516330719,10775
12,1,3,3,159,455,59.135751247406006,9600
12,1,3,4,87,455,17.613323211669922,2825
12,1,3,5,104,455,24.397310495376587,3100
12,1,3,6,85,455,58.48506569862366,9825
12,1,3,7,139,455,64.05672335624695,12125
12,1,3,8,125,455,24.54230523109436,3850
12,1,3,9,121,455,25.641596794128418,4600
13,1,3,0,135,560,109.87383389472961,14425
13,1,3,1,82,560,38.88919019699097,4600
13,1,3,2,106,560,96.80504584312439,15075
13,1,3,3,113,560,95.55334973335266,12300
13,1,3,4,155,560,46.21689820289612,5000
13,1,3,5,140,560,87.66490507125854,10650
13,1,3,6,96,560,64.27201676368713,9200
13,1,3,7,92,560,23.604424476623535,2650
13,1,3,8,80,560,96.80370736122131,15325
13,1,3,9,164,560,61.85469317436218,6875
14,1,3,0,169,680,85.35366106033325,9400
